timestamp,lang,file,verdict,category,title,reason,model
2026-03-14T01:37:37.346Z,typescript,src/tools/ax-review.ts,tp,security,Telemetry is enabled by default,"Valid concern, changed to opt-in",gpt-5.4
2026-03-14T02:47:00.583Z,typescript,src/sessions/SessionManager.ts,tp,,"append() reads the full session file, mutates session.messages, and writes the whole JSON back. If two requests append to the same session at nearly the same time, both can read the same pre-update st",Real race condition - read-modify-write with no locking. Needs file locking or atomic write pattern.,gpt-4.1
2026-03-14T02:47:00.583Z,typescript,src/sessions/SessionManager.ts,tp,,get() catches all exceptions from readFileSync/JSON.parse and returns null with no logging.,Silent swallowing makes corrupted sessions indistinguishable from missing ones. Should at least log.,gpt-4.1
2026-03-14T02:47:00.583Z,typescript,src/sessions/SessionManager.ts,tp,,"All public methods are async, but they use blocking APIs such as existsSync, mkdirSync, readFileSync, writeFileSync, readdirSync, and unlinkSync.",Real issue - sync I/O in async functions blocks event loop. Should use fs.promises.,gpt-4.1
2026-03-14T02:47:00.583Z,typescript,src/sessions/SessionManager.ts,tp,,"The code updates session.updatedAt on every append(), but both get() and cleanup() enforce TTL using session.createdAt + this.ttlMs.",updatedAt is written but never used for TTL. Either implement sliding expiration or remove updatedAt.,gpt-4.1
2026-03-14T02:47:00.583Z,typescript,src/sessions/SessionManager.ts,tp,,"Unlike get() and cleanup(), append() does not catch read/parse/write errors.",Inconsistent error handling - append throws while get silently returns null. Should be consistent.,gpt-4.1
2026-03-14T02:47:00.675Z,typescript,src/tools/ax-calibrator.ts,tp,,Calibration results are correlated back to findings using free-form original_message text instead of a stable identifier.,Core architectural issue - model paraphrase breaks matching. Need stable finding IDs.,gpt-4.1
2026-03-14T02:47:00.675Z,typescript,src/tools/ax-calibrator.ts,tp,,handleAxCalibration() does not validate that the model returned one evaluation per input finding.,Missing cardinality check - model can omit or duplicate evaluations silently.,gpt-4.1
2026-03-14T02:47:00.675Z,typescript,src/tools/ax-calibrator.ts,tp,,"For adjusted verdicts, the code only increments adjusted if adjustedSeverity is one of critical|high|medium|low|info; otherwise the evaluation is dropped silently.",Should fallback to original severity or log when model returns invalid severity string.,gpt-4.1
2026-03-14T02:47:00.779Z,typescript,src/tools/chat.ts,tp,,"When replaying session history, the code casts arbitrary persisted roles with msg.role as user | assistant.",Should validate role at runtime. A system or tool role from corrupted storage could alter model behavior.,gpt-4.1
2026-03-14T02:47:00.779Z,typescript,src/tools/chat.ts,tp,,"Session persistence is split into two sequential append() calls. If the first succeeds and the second throws, the function rejects after partially persisting.",Should wrap persistence in try/catch so primary result is still returned on storage failure.,gpt-4.1
